Classification,upper_north_sp,upper_west_sp,upper_south_sp,upper_east_sp,shroud_north,shroud_west,shroud_south,shroud_east,shroud_north_pst1hr,shroud_west_pst1hr,shroud_south_pst1hr,shroud_east_pst1hr,upper_west_zone,upper_north_zone,upper_east_zone,upper_south_zone,OAT,OAT_pst1hr,pressure_station,wind_speed,relative_humidity,max_air_temp_pst1hr,min_air_temp_pst1hr
HOT,140,140,100,140,43.21329,41.3826,55.00764,58.13414,52.68206,42.34119,52.28711,53.08859,69.90948,68.46696,70.15925,73.71101,44.51012,42.66245,101.1,35,56,45.14,42.26
HOT,140,140,100,140,42.26564,42.61647,55.92438,53.31984,46.93477,41.71253,52.07133,54.27711,70.07584,68.38155,70.31812,74.05778,44.51012,42.66245,101.02,34,56,46.58,44.24
HOT,140,140,100,140,42.88194,43.26038,56.84547,49.75441,45.54848,41.3826,50.81644,56.02121,70.09324,68.40864,70.35857,74.24788,45.70744,43.60829,101.02,34,56,46.58,44.24
HOT,140,100,100,140,48.8007,65.1068,64.39809,52.87091,46.93633,60.97482,65.73279,51.4973,73.45156,70.3674,70.69421,72.81264,50.89895,49.31597,100.6,30,51,53.06,50.72
HOT,140,100,100,140,49.42591,67.52081,66.05093,53.53072,47.25404,63.08101,66.26974,52.47119,73.83338,70.56371,70.7634,72.85697,50.89895,49.31597,100.6,30,51,53.06,50.72
HOT,140,100,100,140,51.25966,68.04887,58.3427,54.75328,49.72799,67.8818,65.30997,53.52221,75.75271,71.0125,70.73151,71.93332,52.40939,51.49037,100.45,30,55,53.96,52.7
HOT,100,100,100,100,45.20121,45.66951,48.78403,49.53964,45.20121,45.34755,46.72416,47.95574,71.31899,68.9855,68.45393,71.72097,46.55293,46.55293,100.38,26,58,47.48,46.58
HOT,140,100,100,140,45.50256,46.99023,50.81487,50.35889,45.20121,45.96745,49.08328,49.53964,72.95316,70.00171,69.33099,73.47492,46.40398,46.55293,100.41,34,57,48.74,46.58
HOT,140,100,100,140,45.50256,46.07919,48.89151,49.26062,45.20121,45.66951,48.78403,49.53964,73.22064,70.17786,69.30306,73.4479,46.40398,46.55293,100.41,34,57,48.74,46.58
HOT,140,100,100,140,44.21806,46.33633,48.96151,49.13732,44.5263,45.37563,47.09684,48.57692,73.76337,70.26743,69.57406,73.0217,45.74276,46.40398,100.51,22,60,47.12,45.14
HOT,100,100,100,100,41.52657,51.63992,47.45365,45.00352,43.07792,46.7312,47.39817,46.61682,72.80442,70.28837,72.46681,70.74995,43.98405,44.30164,100.78,30,64,47.66,42.62
HOT,140,140,140,140,39.95938,39.00602,40.05847,41.68398,40.86617,41.88618,41.28298,42.29375,70.47202,69.00406,67.94923,67.47344,41.63913,42.24252,101.23,22,58,41.54,40.46
COLD,100,100,100,100,38.72603,45.01635,44.80077,46.16287,36.88139,41.27055,43.54771,44.83242,73.8985,71.25858,74.00407,71.27057,40.32014,39.64395,102.22,15,61,40.82,38.12
COLD,100,100,100,100,43.36416,60.5714,55.58507,47.32753,41.79994,53.98178,51.91028,46.92572,74.95654,71.73629,74.5788,73.28062,44.81001,43.17349,101.96,28,52,47.12,43.88
COLD,100,100,100,100,43.98495,60.43892,52.429,48.59946,42.73491,59.3849,53.66894,48.02121,75.4256,71.58914,73.92265,72.69107,45.47622,44.81001,101.87,21,59,46.76,44.78
COLD,100,100,100,100,43.98495,60.43892,52.429,48.59946,42.73491,59.3849,53.66894,48.02121,75.4256,71.58914,73.92265,72.69107,45.47622,44.81001,101.87,21,59,46.76,44.78
HOT,100,100,100,100,45.30882,46.1292,49.13528,52.91701,47.24558,44.55799,45.91151,53.44193,73.32571,71.70057,74.7987,73.02197,45.7709,45.162,100.95,21,77,45.14,44.6
COLD,100,100,100,100,45.30882,46.75792,49.13528,52.60407,45.92778,45.1792,46.51573,56.38034,73.54501,71.87828,74.82776,73.22002,46.43091,45.47009,100.95,21,77,45.14,44.6
COLD,100,100,100,100,45.62784,47.36516,49.75356,52.60407,45.30882,45.53131,47.92149,56.38034,73.62543,71.91396,74.91718,73.36267,46.43091,45.47009,100.95,21,77,45.14,44.6
HOT,100,100,100,100,49.00827,52.28511,54.28537,56.30574,47.18248,49.31373,53.98148,56.7395,70.11039,70.07315,73.49538,72.87279,50.19125,48.01867,100.74,5,56,51.44,47.66
HOT,100,100,100,100,55.27518,59.70931,61.50718,60.81806,52.13313,56.69261,61.26609,59.87448,72.59226,71.09823,73.45673,73.64413,56.49185,53.00645,100.46,28,71,56.3,51.08
HOT,134.2401,140,140,134.2401,42.104,42.81828,43.3056,45.56018,41.49977,41.56831,42.37004,44.28358,71.49781,68.10477,72.66454,72.16947,43.03524,42.72111,100.95,5,76,42.08,40.64
