Classification,lower_north_sp,lower_west_sp,lower_south_sp,lower_east_sp,shroud_north,shroud_west,shroud_south,shroud_east,shroud_north_pst1hr,shroud_west_pst1hr,shroud_south_pst1hr,shroud_east_pst1hr,lower_west_zone,lower_north_zone,lower_east_zone,lower_south_zone,OAT,OAT_pst1hr,pressure_station,wind_speed,relative_humidity,max_air_temp_pst1hr,min_air_temp_pst1hr
COLD,100,100,100,100,36.88139,40.96058,45.04393,45.46058,35.66882,37.92156,42.74376,47.08836,71.56786,71.06323,71.84129,71.20538,38.73825,38.57767,102.23,11,69,38.48,37.22
COLD,118.0234,111.9144,100,100,38.11468,42.97989,44.31812,46.02892,36.88139,40.21025,42.57557,45.14846,69.89123,69.69816,71.24923,70.72837,40.32014,39.64395,102.22,15,61,40.82,38.12
COLD,140,107.5894,100,100,44.90565,66.2091,52.77158,49.61665,43.67246,64.74805,56.36126,47.65247,72.6509,69.2963,70.28461,72.03005,46.09159,44.84932,101.87,21,59,46.76,44.78
HOT,136.2241,100,100,115.52,45.92778,45.1792,46.51573,56.38034,58.3302,42.99033,44.96444,45.57549,71.0467,69.62281,71.0025,71.75957,45.47009,44.84604,101.04,18,75,45.14,43.52
COLD,140,140,140,140,42.104,42.20111,42.69949,45.25515,41.49977,41.87686,42.05719,44.5806,66.65612,65.51201,66.73229,68.13831,43.02499,42.39993,100.93,4,81,41.36,40.64
COLD,140,140,140,140,42.104,42.20111,42.69949,45.25515,41.49977,41.87686,42.05719,44.5806,66.65612,65.51201,66.73229,68.13831,43.02499,42.39993,100.93,4,81,41.36,40.64
COLD,140,140,140,134.2401,42.104,42.81828,43.3056,45.56018,41.49977,41.56831,42.37004,44.28358,68.42144,66.9526,68.28593,70.01646,43.03524,42.72111,100.95,5,76,42.08,40.64
COLD,140,140,140,100,46.73693,49.32322,70.10659,59.4287,44.56085,48.37197,63.30777,60.89158,70.32684,69.92683,70.28263,71.7616,49.53006,45.91748,100.86,17,63,47.3,44.78
COLD,140,140,140,100,46.73693,49.32322,70.10659,59.4287,44.56085,48.37197,63.30777,60.89158,70.32684,69.92683,70.28263,71.7616,49.53006,45.91748,100.86,17,63,47.3,44.78
COLD,140,140,140,100,46.73693,49.32322,70.10659,59.4287,44.56085,48.37197,63.30777,60.89158,70.32684,69.92683,70.28263,71.7616,49.53006,45.91748,100.86,17,63,47.3,44.78
COLD,140,140,140,100,46.73693,49.62502,70.89865,55.06915,45.17815,49.64148,59.44457,60.5093,70.33633,69.99245,70.26772,71.99114,50.45835,47.19673,100.86,17,63,47.3,44.78
COLD,140,140,140,100,48.23973,63.23876,68.4822,51.13926,46.43802,48.99526,69.09793,52.43181,69.64021,69.57597,69.64688,72.00478,49.70283,48.71581,100.83,15,61,48.02,45.86
COLD,140,140,140,100,48.85756,55.29052,54.82791,53.45801,48.85756,66.28907,71.08597,51.46178,71.12517,70.67467,70.04633,71.19152,49.70799,49.70283,100.76,9,51,50.18,48.02
COLD,140,140,140,100,49.16225,53.90255,52.79522,52.11724,48.85756,54.61895,53.74459,53.14327,71.88486,71.12421,70.55262,70.86182,49.70799,49.70799,100.7,8,62,48.74,47.48
HOT,140,140,140,100,43.50574,45.64962,45.71357,48.37857,51.71236,47.85919,48.2428,49.53246,73.96836,72.16171,73.14121,74.71777,46.11728,47.67955,100.42,15,91,43.88,42.26
HOT,140,140,140,100,43.50574,45.64962,46.02156,48.0291,51.71236,47.85919,48.2428,49.22613,73.41973,71.99737,72.39165,73.68661,45.11131,47.97756,100.42,15,91,43.88,42.26
HOT,140,140,140,100,43.50574,45.94706,46.02156,48.99367,54.30485,47.55931,47.93589,49.22613,72.76411,71.86768,71.3446,72.39631,45.11131,47.97756,100.42,13,85,45.68,43.16
HOT,140,140,140,100,44.41249,49.09777,50.39915,53.70238,43.50574,45.94706,46.02156,48.71869,72.32236,72.20181,70.76102,71.52177,46.97786,45.43479,100.5,8,83,46.76,45.5
HOT,140,140,140,100,45.99775,50.3517,51.44572,53.81506,44.11393,47.1819,53.50547,59.19661,72.28672,72.33538,70.81324,71.49406,47.6018,46.97786,100.5,8,83,46.76,45.5
HOT,140,140,140,100,45.99775,49.38942,50.45995,52.8884,44.11393,48.10929,51.68425,55.39527,72.33964,72.43574,70.81531,71.56375,47.6018,46.97786,100.49,9,86,47.3,44.24
COLD,140,140,140,100,47.52563,48.32399,48.74717,51.41424,47.21756,50.75608,54.57494,57.42918,72.36526,72.60274,70.92181,71.79938,49.25767,47.6018,100.58,13,87,47.48,45.14
HOT,140,140,140,100,45.63519,50.1414,51.72807,49.89275,47.52563,48.32399,48.74717,51.41424,72.33169,72.54433,70.7976,71.61359,46.636,49.25767,100.54,9,81,47.3,44.42
COLD,140,140,140,100,45.94923,55.49716,57.05321,50.89089,46.89104,47.26084,48.4168,49.87825,72.42648,72.5379,70.86031,71.88168,47.91743,47.3217,100.54,9,81,47.3,44.42
HOT,140,140,140,100,45.94923,55.49716,57.05321,50.89089,46.89104,47.26084,48.4168,49.87825,72.42648,72.5379,70.86031,71.88168,47.91743,47.3217,100.54,9,81,47.3,44.42
COLD,140,140,140,100,47.50702,49.19798,51.25302,51.11198,46.89222,56.91095,57.74812,52.53113,72.69543,72.11998,71.03742,72.17587,48.50737,47.91743,100.58,22,79,50,48.02
HOT,140,140,140,100,36.80901,37.18234,38.40046,54.5135,39.7533,36.4586,38.0355,39.68967,70.97861,69.76322,70.56564,71.17941,37.52879,38.55488,101.61,17,76,39.2,37.22
HOT,140,140,140,100,39.57951,42.60009,49.41514,49.2802,38.34383,40.8138,52.03134,53.59872,73.30573,72.17087,73.01499,74.08242,40.34771,40.70909,101.72,21,63,42.44,40.46
HOT,140,140,140,100,40.17658,45.41796,48.05291,47.58834,39.57951,45.03258,49.04139,48.80174,73.48575,72.32473,73.45776,74.33002,41.52385,40.88953,101.7,22,59,43.7,42.62
COLD,140,140,140,100,40.47799,50.22236,53.62444,46.9327,39.87727,45.40987,51.46307,49.22831,73.68395,72.42471,73.52007,74.47149,41.28794,42.16188,101.7,22,59,43.7,42.62
