Classification,unorth,uwest,usouth,ueast,Shroud North,Shroud West,Shroud South,Shroud East,Lag Shroud North,Lag Shroud West,Lag Shroud South,LagShroud East,uWEST zone,uNORTH zone,uEAST zone,uSOUTH zone,OAT,Lagging OAT,pressure_station,wind_speed,relative_humidity,max_air_temp_pst1hr,min_air_temp_pst1hr
COLD,140,140,140,140.0663,0.92161004,1,0.984736527,0.994402476,0.930624397,1,0.989784866,0.999910927,69.64199,68.02666,66.97213,69.47126,50.01318,48.76513,101.88,24,73,52.34,50.54
COLD,140,140,140,140.0663,0.925603883,1,0.98641429,0.992471292,0.920453911,0.999880543,0.989994245,1,69.95792,68.18864,67.27775,69.56342,50.61427,49.40731,101.88,24,73,52.34,50.54
COLD,140,140,140,140.0663,0.925603883,1,0.98641429,0.992471292,0.920453911,0.999880543,0.989994245,1,69.95792,68.18864,67.27775,69.56342,50.61427,49.40731,101.88,24,73,52.34,50.54
COLD,140,134.8054,140,140.0663,0.925603883,1,0.98641429,0.992471292,0.926315701,0.999880543,0.989994245,1,69.86567,68.24621,67.25468,69.59381,50.92107,50.01318,101.88,24,73,52.34,50.54
COLD,140,127.3297,140,140.0663,0.930954413,1,0.986364924,0.998208355,0.92161004,1,0.984736527,0.994402476,69.86567,68.2181,66.97659,69.58408,50.92107,50.01318,101.81,24,74,51.98,51.44
COLD,140,119.1835,140,140.0663,0.936752074,1,0.986364924,0.991567928,0.897508121,1,0.986277447,0.988168811,69.88873,68.22783,67.5531,69.63561,50.92107,50.61427,101.81,24,74,51.98,51.44
COLD,140,119.1835,140,140.0663,0.936752074,1,0.986364924,0.991567928,0.914161581,0.999806229,0.986417267,1,69.9118,68.29403,67.60537,69.7113,50.92107,50.61427,101.81,24,74,51.98,51.44
COLD,140,111.4098,140,140.0663,0.948158554,1,0.986502684,0.99165486,0.925603883,1,0.98641429,0.992471292,69.86567,68.33295,67.36658,69.76968,50.92107,50.92107,101.81,24,74,51.98,51.44
COLD,140,119.5626,140,140.0663,0.962321201,0.996999511,0.977448618,1,0.95386835,1,0.992443388,0.997626591,69.83969,68.43307,67.34351,69.70763,50.61248,50.92107,101.76,18,93,51.98,50.36
COLD,140,140,140,140,0.980770381,0.991429789,0.9925476,1,0.974710439,0.979165205,0.98669691,1,68.33952,66.96081,65.89204,67.74082,51.94373,52.2468,100.81,28,95,53.42,51.98
COLD,140,140,140,140,0.986717689,0.991615594,0.992762456,1,0.974710439,0.979165205,0.992396028,1,68.47241,67.03585,65.95816,67.74947,51.94373,52.2468,100.81,28,95,53.42,51.98
COLD,140,140,140,140,0.974880919,0.99203607,0.993150682,1,0.980770381,0.991429789,0.9925476,1,68.81546,67.27726,66.19537,68.00448,51.0186,51.94373,100.81,28,95,53.42,51.98
COLD,140,140,140,140,0.968889637,0.991808269,0.993136293,1,0.986717689,0.991615594,0.992762456,1,68.89336,67.46499,66.30515,68.16357,51.0186,51.94373,100.79,26,95,53.42,51.98
COLD,140,140,140,140,0.974771446,0.997751642,0.999112891,1,0.986947556,0.99203607,0.993150682,1,68.93665,67.4931,66.27343,68.31369,51.6297,51.0186,100.79,26,95,53.42,51.98
COLD,140,140,140,140,0.974771446,0.997751642,0.999112891,1,0.986947556,0.99203607,0.993150682,1,68.93665,67.4931,66.27343,68.31369,51.6297,51.0186,100.79,26,95,53.42,51.98
COLD,140,140,140,140,0.974771446,0.997751642,0.999112891,1,0.986947556,0.99203607,0.993150682,1,68.93665,67.4931,66.27343,68.31369,51.6297,51.0186,100.79,26,95,53.42,51.98
COLD,140,140,140,140,0.968530075,0.997207695,0.992428028,1,0.974880919,0.99203607,0.993150682,1,69.02045,67.66364,66.50558,68.43404,51.6297,51.0186,100.79,26,95,53.42,51.98
COLD,140,140,140,140,0.968560526,0.997123504,0.99227474,1,0.974880919,0.99203607,0.993150682,1,69.08866,67.75577,66.57409,68.42648,52.22741,51.0186,100.79,26,95,53.42,51.98
COLD,140,134.3328,140,140,0.962948924,0.991076822,0.9861675,1,0.968629462,0.99743002,0.998725594,1,69.26473,68.04425,67.12023,68.65495,52.53234,51.6297,100.76,24,95,54.68,53.42
COLD,140,126.831,140,140,0.962948924,0.996758393,0.992013168,1,0.968530075,0.997207695,0.992428028,1,69.27311,68.11959,67.10401,68.67441,52.53234,51.6297,100.76,24,95,54.68,53.42
COLD,140,119.5425,140,140,0.962938728,0.996400527,0.986103638,1,0.968560526,0.997123504,0.99227474,1,69.27311,68.18589,67.10113,68.83562,52.83575,52.22741,100.76,24,95,54.68,53.42
COLD,140,119.2471,140,140,0.955601137,1,0.984202447,0.992007914,0.962938728,0.996400527,0.986103638,1,69.6428,68.59524,67.5995,69.13374,53.45108,52.83575,100.67,30,95,55.4,54.5
COLD,140,119.2471,140,140,0.955601137,1,0.984202447,0.992007914,0.962938728,0.996400527,0.986103638,1,69.6428,68.59524,67.5995,69.13374,53.45108,52.83575,100.67,30,95,55.4,54.5
COLD,140,119.2471,140,140,0.955601137,1,0.984202447,0.992007914,0.962938728,0.996400527,0.986103638,1,69.6428,68.59524,67.5995,69.13374,53.45108,52.83575,100.67,30,95,55.4,54.5
COLD,140,110.5084,140,140,0.966669814,1,0.995416271,0.998282243,0.949645539,1,0.989627506,0.991777137,69.84985,68.69646,67.77035,69.30933,54.0493,52.83575,100.62,24,95,56.3,55.22
COLD,140,109.6458,140,140,0.97382781,0.995938284,0.996821226,1,0.955601137,1,0.984202447,0.992007914,69.78065,68.85035,67.96066,69.28987,54.6583,53.45108,100.62,24,95,56.3,55.22
COLD,140,109.6458,140,140,0.97382781,0.995938284,0.996821226,1,0.955601137,1,0.984202447,0.992007914,69.78065,68.85035,67.96066,69.28987,54.6583,53.45108,100.62,24,95,56.3,55.22
COLD,140,110.5084,140,140,0.971251424,0.998837709,1,0.997354372,0.966486585,1,0.989630613,0.997479129,69.75759,68.9244,68.02708,69.30284,54.6583,53.45108,100.51,26,96,57.74,56.12
COLD,140,103.9867,140,140,0.96662508,1,0.995189597,0.998025411,0.96886437,0.996722875,0.992095837,1,69.77488,68.93304,68.07609,69.36263,54.6583,53.45108,100.51,26,96,57.74,56.12
COLD,140,103.4667,140,140,0.971259858,0.999226903,1,0.997265001,0.966669814,1,0.995416271,0.998282243,69.92787,69.06111,68.26038,69.37167,55.284,54.0493,100.51,26,96,57.74,56.12
COLD,140,110.5086,140,140,0.972163582,1,0.995487977,0.998376276,0.968231539,0.995938284,0.991373172,1,69.9048,69.1276,68.04702,69.28085,55.284,54.0493,100.51,26,96,57.74,56.12
COLD,140,109.6461,140,140,0.971102094,0.998908118,1,0.997286166,0.97382781,0.995938284,0.996821226,1,69.94781,69.09084,68.26427,69.39578,55.58775,54.6583,100.51,26,96,57.74,56.12
COLD,140,110.5086,140,140,0.973678403,0.996045863,0.997134617,1,0.966668267,1,0.995450813,0.99803658,69.87861,69.14648,68.47759,69.43038,55.91829,55.284,100.46,26,97,57.92,57.56
COLD,140,103.4667,140,140,0.973759677,0.996058266,0.997217849,1,0.972323362,1,0.995746932,0.998608328,70.21512,69.39357,68.77213,69.93705,55.91829,55.91829,100.46,21,97,57.92,57.56
